# Метеостанция Тырныауз, Россия, WMO_ID=37206, выборка с 20.11.2013 по 31.12.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=37206&lang=ru
#
"Местное время в Тырныаузе";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.10.2020 18:00";"8.2";"660.1";"";"";"77";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"9.5";"";"";"";"";"";"";"4.4";"6.0";"12";"";"";"";"";
"05.10.2020 15:00";"8.6";"659.3";"";"";"92";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"05.10.2020 12:00";"8.7";"659.2";"";"";"94";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"05.10.2020 09:00";"8.7";"658.6";"";"";"94";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"8.6";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"05.10.2020 06:00";"9.4";"657.7";"";"";"95";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"9.5";"";"";"";"";"";"";"";"8.6";"Осадков нет";"12";"";"";"";"";
"05.10.2020 03:00";"10.5";"657.5";"";"";"92";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"05.10.2020 00:00";"10.4";"657.7";"";"";"89";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"04.10.2020 21:00";"11.7";"658.0";"";"";"83";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"04.10.2020 18:00";"12.4";"657.6";"";"";"79";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"19.1";"";"";"";"";"";"";"8.9";"Осадков нет";"12";"";"";"";"";
"04.10.2020 15:00";"16.0";"656.8";"";"";"65";"Ветер, дующий с северо-северо-востока";"4";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"04.10.2020 12:00";"18.1";"656.7";"";"";"49";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"04.10.2020 09:00";"7.6";"657.4";"";"";"82";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"6.8";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"04.10.2020 06:00";"7.0";"657.5";"";"";"88";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"7.0";"";"";"";"";"";"";"";"5.2";"0.3";"12";"";"";"";"";
"04.10.2020 03:00";"7.9";"657.4";"";"";"95";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"04.10.2020 00:00";"10.1";"657.3";"";"";"95";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"03.10.2020 21:00";"11.1";"657.9";"";"";"89";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"03.10.2020 18:00";"11.6";"657.7";"";"";"88";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"15.5";"";"";"";"";"";"";"9.7";"Осадков нет";"12";"";"";"";"";
"03.10.2020 15:00";"13.7";"657.1";"";"";"72";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"03.10.2020 12:00";"14.4";"656.5";"";"";"66";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.0";"";"";"";"";"";"";
"03.10.2020 09:00";"11.4";"657.0";"";"";"78";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"03.10.2020 06:00";"9.3";"656.6";"";"";"92";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"8.4";"";"";"";"";"";"";"";"8.0";"2.0";"12";"";"";"";"";
"03.10.2020 03:00";"10.0";"656.0";"";"";"95";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"03.10.2020 00:00";"8.5";"655.2";"";"";"96";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"02.10.2020 21:00";"10.1";"655.0";"";"";"94";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"02.10.2020 18:00";"11.5";"654.9";"";"";"92";"Ветер, дующий с юго-востока";"2";"";"";"";" ";"";"";"";"18.5";"";"";"";"";"";"";"10.2";"0.8";"12";"";"";"";"";
"02.10.2020 15:00";"14.2";"653.6";"";"";"79";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"02.10.2020 12:00";"18.3";"652.9";"";"";"50";"Ветер, дующий с севера";"3";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"02.10.2020 09:00";"14.5";"653.2";"";"";"65";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"02.10.2020 03:00";"9.7";"652.8";"";"";"89";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"02.10.2020 00:00";"9.5";"652.7";"";"";"92";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"01.10.2020 21:00";"11.2";"652.9";"";"";"88";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"01.10.2020 18:00";"12.5";"652.1";"";"";"76";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"17.3";"";"";"";"";"";"";"8.4";"Осадков нет";"12";"";"";"";"";
"01.10.2020 15:00";"16.5";"650.7";"";"";"59";"Ветер, дующий с северо-северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"01.10.2020 12:00";"14.5";"651.1";"";"";"64";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"01.10.2020 09:00";"9.8";"651.4";"";"";"80";"Штиль, безветрие";"0";"";"";"";" ";"";"";"7.7";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"01.10.2020 06:00";"11.0";"651.0";"";"";"81";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"8.4";"";"";"";"";"";"";"";"7.8";"Осадков нет";"12";"";"";"";"";
"01.10.2020 03:00";"8.5";"651.4";"";"";"89";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"01.10.2020 00:00";"11.6";"652.1";"";"";"77";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"30.09.2020 21:00";"11.3";"652.6";"";"";"75";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"30.09.2020 18:00";"12.3";"651.7";"";"";"75";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"17.8";"";"";"";"";"";"";"7.9";"Осадков нет";"12";"";"";"";"";
"30.09.2020 15:00";"14.7";"651.1";"";"";"65";"Ветер, дующий с северо-северо-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"30.09.2020 12:00";"17.7";"650.8";"";"";"57";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"30.09.2020 09:00";"12.3";"650.7";"";"";"62";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"30.09.2020 06:00";"7.9";"651.2";"";"";"90";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"7.5";"";"";"";"";"";"";"";"6.3";"Осадков нет";"12";"";"";"";"";
"30.09.2020 03:00";"7.7";"651.8";"";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"30.09.2020 00:00";"9.2";"652.9";"";"";"93";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"29.09.2020 21:00";"12.0";"654.5";"";"";"88";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"29.09.2020 18:00";"13.9";"655.2";"";"";"78";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"22.0";"";"";"";"";"";"";"10.0";"Осадков нет";"12";"";"";"";"";
"29.09.2020 15:00";"19.3";"655.1";"";"";"56";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"29.09.2020 12:00";"21.9";"655.9";"";"";"37";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"29.09.2020 09:00";"11.5";"657.0";"";"";"68";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"10.2";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"29.09.2020 06:00";"10.6";"657.6";"";"";"74";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"10.4";"";"";"";"";"";"";"";"6.1";"0.3";"12";"";"";"";"";
"29.09.2020 03:00";"11.8";"657.5";"";"";"74";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"29.09.2020 00:00";"12.7";"658.5";"";"";"80";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"28.09.2020 21:00";"12.7";"659.1";"";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"28.09.2020 18:00";"14.0";"659.1";"";"";"94";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"2.0";"12";"";"";"";"";
"28.09.2020 15:00";"18.5";"658.7";"";"";"64";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"28.09.2020 12:00";"21.6";"658.0";"";"";"41";"Ветер, дующий с северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"28.09.2020 09:00";"15.8";"658.6";"";"";"53";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"12.1";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"28.09.2020 06:00";"12.4";"658.2";"";"";"68";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"12.4";"";"";"";"";"";"";"";"6.6";"Осадков нет";"12";"";"";"";"";
"28.09.2020 03:00";"13.1";"657.7";"";"";"68";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"28.09.2020 00:00";"13.2";"657.7";"";"";"73";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"27.09.2020 21:00";"13.3";"657.6";"";"";"87";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"27.09.2020 18:00";"15.2";"656.8";"";"";"79";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"21.0";"";"";"";"";"";"";"11.6";"Осадков нет";"12";"";"";"";"";
"27.09.2020 15:00";"19.4";"655.2";"";"";"58";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"27.09.2020 12:00";"20.5";"654.6";"";"";"47";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.7";"";"";"";"";"";"";
"27.09.2020 09:00";"11.1";"654.4";"";"";"73";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"9.2";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"27.09.2020 06:00";"9.5";"653.6";"";"";"80";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"9.6";"";"";"";"";"";"";"";"6.2";"0.5";"12";"";"";"";"";
"27.09.2020 03:00";"10.6";"653.2";"";"";"85";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.2";"";"";"";"";"";"";
"27.09.2020 00:00";"10.9";"653.2";"";"";"95";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"26.09.2020 21:00";"13.5";"652.5";"";"";"82";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"26.09.2020 18:00";"13.6";"652.8";"";"";"93";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"18.7";"";"";"";"";"";"";"12.4";"0.3";"12";"";"";"";"";
"26.09.2020 15:00";"16.6";"652.0";"";"";"71";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"26.09.2020 12:00";"18.2";"651.3";"";"";"50";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"26.09.2020 09:00";"15.2";"651.2";"";"";"53";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"26.09.2020 06:00";"11.8";"651.4";"";"";"68";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"8.4";"";"";"";"";"";"";"";"6.0";"Осадков нет";"12";"";"";"";"";
"26.09.2020 03:00";"8.7";"651.8";"";"";"88";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"26.09.2020 00:00";"13.1";"652.3";"";"";"66";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"25.09.2020 21:00";"13.0";"653.1";"";"";"85";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"25.09.2020 18:00";"16.6";"653.0";"";"";"76";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"23.0";"";"";"";"";"";"";"12.3";"Осадков нет";"12";"";"";"";"";
"25.09.2020 15:00";"21.5";"652.4";"";"";"43";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
"25.09.2020 12:00";"22.4";"652.7";"";"";"32";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"25.09.2020 09:00";"12.5";"653.5";"";"";"53";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"10.4";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"25.09.2020 06:00";"10.5";"653.8";"";"";"68";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"10.5";"";"";"";"";"";"";"";"4.7";"Осадков нет";"12";"";"";"";"";
"25.09.2020 03:00";"11.6";"654.2";"";"";"68";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"25.09.2020 00:00";"12.6";"654.7";"";"";"66";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"24.09.2020 21:00";"11.1";"655.1";"";"";"85";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"24.09.2020 18:00";"15.9";"654.7";"";"";"68";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"22.1";"";"";"";"";"";"";"9.9";"Осадков нет";"12";"";"";"";"";
"24.09.2020 15:00";"21.4";"653.7";"";"";"39";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"24.09.2020 12:00";"21.5";"653.8";"";"";"32";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"24.09.2020 09:00";"10.0";"654.7";"";"";"65";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"8.7";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"24.09.2020 06:00";"10.0";"654.4";"";"";"60";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"9.6";"";"";"";"";"";"";"";"2.4";"Осадков нет";"12";"";"";"";"";
"24.09.2020 03:00";"10.3";"654.5";"";"";"61";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"24.09.2020 00:00";"10.9";"654.7";"";"";"73";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"23.09.2020 21:00";"10.4";"655.0";"";"";"88";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"23.09.2020 18:00";"16.0";"654.7";"";"";"68";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"22.5";"";"";"";"";"";"";"10.1";"Осадков нет";"12";"";"";"";"";
"23.09.2020 15:00";"20.2";"654.5";"";"";"48";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"23.09.2020 12:00";"20.9";"655.1";"";"";"31";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.2";"";"";"";"";"";"";
"23.09.2020 09:00";"12.5";"655.7";"";"";"44";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"23.09.2020 06:00";"9.7";"656.4";"";"";"56";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"9.1";"";"";"";"";"";"";"";"1.2";"Осадков нет";"12";"";"";"";"";
"23.09.2020 03:00";"11.2";"656.5";"";"";"55";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"23.09.2020 00:00";"12.3";"656.9";"";"";"57";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"22.09.2020 18:00";"15.5";"657.2";"";"";"57";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"21.7";"";"";"";"";"";"";"7.0";"Осадков нет";"12";"";"";"";"";
"22.09.2020 15:00";"20.0";"656.7";"";"";"40";"Ветер, дующий с северо-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"22.09.2020 12:00";"20.6";"656.6";"";"";"35";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"22.09.2020 09:00";"10.6";"656.9";"";"";"53";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"6.8";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"22.09.2020 06:00";"7.5";"657.0";"";"";"69";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"7.8";"";"";"";"";"";"";"";"2.2";"Осадков нет";"12";"";"";"";"";
"22.09.2020 03:00";"9.4";"656.7";"";"";"67";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"22.09.2020 00:00";"11.1";"656.6";"";"";"66";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"21.09.2020 21:00";"8.7";"656.8";"";"";"82";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"21.09.2020 18:00";"14.3";"656.2";"";"";"57";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"19.1";"";"";"";"";"";"";"5.9";"Осадков нет";"12";"";"";"";"";
"21.09.2020 15:00";"18.3";"655.5";"";"";"44";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"21.09.2020 12:00";"17.8";"655.9";"";"";"44";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"21.09.2020 09:00";"9.1";"656.5";"";"";"69";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"21.09.2020 06:00";"6.1";"656.8";"";"";"83";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"5.9";"";"";"";"";"";"";"";"3.4";"Осадков нет";"12";"";"";"";"";
"21.09.2020 03:00";"6.9";"656.7";"";"";"81";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"21.09.2020 00:00";"6.3";"656.6";"";"";"88";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"20.09.2020 21:00";"8.0";"656.4";"";"";"77";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"20.09.2020 18:00";"13.9";"655.5";"";"";"50";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"19.0";"";"";"";"";"";"";"3.6";"Осадков нет";"12";"";"";"";"";
"20.09.2020 15:00";"17.8";"654.3";"";"";"41";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"20.09.2020 12:00";"18.2";"654.1";"";"";"35";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.3";"";"";"";"";"";"";
"20.09.2020 09:00";"8.0";"654.6";"";"";"70";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"20.09.2020 06:00";"6.7";"654.7";"";"";"78";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"5.6";"";"";"";"";"";"";"";"3.1";"Осадков нет";"12";"";"";"";"";
"20.09.2020 03:00";"5.6";"654.7";"";"";"90";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.1";"";"";"";"";"";"";
"20.09.2020 00:00";"6.8";"654.8";"";"";"85";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"19.09.2020 21:00";"9.6";"654.8";"";"";"74";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"19.09.2020 18:00";"14.0";"654.0";"";"";"63";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"19.0";"";"";"";"";"";"";"6.9";"Осадков нет";"12";"";"";"";"";
"19.09.2020 15:00";"18.5";"652.4";"";"";"54";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"19.09.2020 12:00";"15.7";"652.3";"";"";"70";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"19.09.2020 09:00";"14.2";"651.9";"";"";"80";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"19.09.2020 06:00";"11.9";"651.1";"";"";"88";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"11.6";"";"";"";"";"";"";"";"9.9";"Осадков нет";"12";"";"";"";"";
"19.09.2020 03:00";"13.1";"652.0";"";"";"78";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"19.09.2020 00:00";"13.1";"652.3";"";"";"77";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"18.09.2020 21:00";"13.5";"653.0";"";"";"77";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"18.09.2020 18:00";"19.4";"652.5";"";"";"52";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"26.0";"";"";"";"";"";"";"9.2";"Осадков нет";"12";"";"";"";"";
"18.09.2020 15:00";"24.3";"651.7";"";"";"34";"Ветер, дующий с северо-северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"18.09.2020 12:00";"25.5";"651.5";"";"";"22";"Ветер, дующий с северо-северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"18.09.2020 09:00";"13.3";"652.6";"";"";"50";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"10.2";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"18.09.2020 06:00";"11.9";"652.9";"";"";"48";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"11.3";"";"";"";"";"";"";"";"1.2";"Осадков нет";"12";"";"";"";"";
"18.09.2020 03:00";"11.8";"653.2";"";"";"54";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"18.09.2020 00:00";"12.5";"654.0";"";"";"67";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"17.09.2020 21:00";"12.9";"655.1";"";"";"74";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.3";"";"";"";"";"";"";
